loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,Reason,addr_state
6000, 36 months,6.03%,A,A1,"Stewart Enterprises, Inc.",10+ years,MORTGAGE,45600,Not Verified,12/1/2011,Fully Paid,Debt-Consolidation ,LA
14000, 36 months,9.91%,B,B1,golfers warehouse,6 years,RENT,80000,Not Verified,12/1/2011,Fully Paid,Small Business Loan,MA
5000, 36 months,8.90%,A,A5,STERIS Corporation,10+ years,MORTGAGE,100000,Source Verified,12/1/2011,Charged Off,Debt Consolidation for a better life,OH
10000, 36 months,10.65%,B,B2,Costco Wholesale Corp.,6 years,RENT,27000,Verified,12/1/2011,Fully Paid,Other Loan,NY
10000, 36 months,6.03%,A,A1,Helicoil,10+ years,RENT,60000,Not Verified,12/1/2011,Fully Paid,Credit Card Loan,CT
11000, 36 months,6.62%,A,A2,cognizant technology solutions,5 years,RENT,70000,Not Verified,12/1/2011,Fully Paid,Debt Consolitation ,CT
15000, 36 months,9.91%,B,B1,Caterpillar Inc.,8 years,MORTGAGE,80000,Not Verified,12/1/2011,Charged Off,Debt Consolidation Loan,IL
25600, 36 months,9.91%,B,B1,City of Santa Monica ,9 years,RENT,110000,Verified,12/1/2011,Fully Paid,Credit card refinance loan,CA
7000, 36 months,10.65%,B,B2,Aerotek Scientific,< 1 year,RENT,40000,Not Verified,12/1/2011,Fully Paid,Loan 12142011,CA
12000, 36 months,15.96%,C,C5,Chemat Technology Inc,4 years,RENT,50000,Not Verified,12/1/2011,Charged Off,Car Loan,CA
12000, 36 months,9.91%,B,B1,Scott & White,1 year,RENT,46000,Not Verified,12/1/2011,Fully Paid,Credit Cards,TX
21000, 60 months,19.91%,E,E4,Costco,7 years,RENT,50000,Verified,12/1/2011,Charged Off, Bill pay of,WA
16000, 60 months,19.91%,E,E4,CA Technologies,7 years,RENT,81000,Verified,12/1/2011,Fully Paid,refinance debt,MA
10000, 36 months,12.42%,B,B4,Netflix,< 1 year,OWN,39000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,OR
10000, 36 months,10.65%,B,B2,DCAA,2 years,RENT,51400,Not Verified,12/1/2011,Fully Paid,My End to Bad Spending Habits Plan,TX
7100, 36 months,16.77%,D,D2,Triple D security ,1 year,MORTGAGE,33000,Verified,12/1/2011,Fully Paid,To pay of all debt,TX
13000, 60 months,12.69%,B,B5,wrisco,< 1 year,MORTGAGE,30000,Source Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,NJ
17500, 60 months,17.27%,D,D3,,6 years,RENT,40000,Verified,12/1/2011,Fully Paid,Start Up,CA
17675, 60 months,14.65%,C,C3,webb candy,< 1 year,RENT,50000,Source Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,WI
8000, 36 months,16.77%,D,D2,Omniplex ,< 1 year,RENT,62000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,VA
10000, 60 months,10.65%,B,B2,CEC ENTERTAINMENT INC,10+ years,RENT,45996,Verified,12/1/2011,Charged Off,Consolidation,OH
3500, 36 months,10.65%,B,B2,CPI,7 years,MORTGAGE,55000,Not Verified,12/1/2011,Fully Paid,blessings,OH
12500, 60 months,17.27%,D,D3,grandma kitchen,5 years,RENT,30000,Source Verified,12/1/2011,Charged Off,allen,MN
16425, 36 months,14.27%,C,C2,"Gen-Probe, Inc",4 years,RENT,44544,Source Verified,12/1/2011,Fully Paid,New Start,CA
8200, 60 months,21.28%,F,F2,autozone,4 years,RENT,75000,Source Verified,12/1/2011,Charged Off,Small_Business Loan,CA
15000, 36 months,14.65%,C,C3,USAF Civil Service,2 years,OWN,61000,Verified,12/1/2011,Fully Paid,Credit Refinance,FL
20975, 60 months,17.58%,D,D4,Dollar Tree Stores,5 years,MORTGAGE,44000,Verified,12/1/2011,Fully Paid,Refinance Loan,GA
6400, 36 months,16.77%,D,D2,"Riverside County, California",5 years,RENT,75000,Not Verified,12/1/2011,Charged Off,Help,CA
3000, 36 months,13.49%,C,C1,Insight Card Services,1 year,RENT,33600,Not Verified,12/1/2011,Fully Paid,Credit Card Consolidation,AL
12000, 36 months,16.77%,D,D2,Genocea Biosciences,3 years,RENT,50000,Not Verified,12/1/2011,Fully Paid,Credit Card Consolidation,MA
14400, 36 months,8.90%,A,A5,Model Metrics,< 1 year,OWN,150000,Source Verified,12/1/2011,Fully Paid,Credit Payoff 14400,NY
12000, 36 months,14.65%,C,C3,Boro of Butler,10+ years,RENT,90000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,NJ
11000, 36 months,13.49%,C,C1,TX Army National Guard,10+ years,MORTGAGE,48000,Verified,12/1/2011,Fully Paid,Debt Consolidation,TX
7250, 60 months,21.67%,F,F3,Cross Country Travel Corp,< 1 year,RENT,75000,Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,CA
15000, 36 months,7.90%,A,A4,Segovia's Transportion Inc.,1 year,MORTGAGE,52000,Not Verified,12/1/2011,Fully Paid,Small_Business Loan,TX
18000, 60 months,19.91%,E,E4,AVMED HEALTH PLANS,10+ years,MORTGAGE,65000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,FL
35000, 60 months,17.27%,D,D3,tutor Per ini Corporation,3 years,MORTGAGE,150000,Verified,12/1/2011,Fully Paid,Home improvement,NY
10000, 36 months,14.27%,C,C2,SAP,2 years,RENT,68000,Source Verified,12/1/2011,Fully Paid,CC Refi Loan,PA
11800, 36 months,12.69%,B,B5,Koi Restaurant,6 years,RENT,42000,Source Verified,12/1/2011,Fully Paid,Credit Card Refinancing,NY
4500, 36 months,6.03%,A,A1,CaseStack,4 years,RENT,53000,Source Verified,12/1/2011,Fully Paid,Auto Loan,CA
7000, 36 months,12.69%,B,B5,Bellflower convalecent hospital,10+ years,RENT,35000,Source Verified,12/1/2011,Fully Paid,I pay my all credit,CA
9200, 36 months,12.42%,B,B4,Kaiser Permanente,2 years,RENT,60000,Source Verified,12/1/2011,Fully Paid,Nissan Car Loan,CA
14000, 60 months,17.27%,D,D3,community colleges of spokane,4 years,RENT,28000,Verified,12/1/2011,Fully Paid,dental care,WA
4500, 60 months,10.65%,B,B2,barnes distribution,< 1 year,MORTGAGE,42000,Source Verified,12/1/2011,Fully Paid,Car Loan,TX
12000, 36 months,16.29%,D,D1,Phoenix Newspapers Inc.,9 years,RENT,88365,Verified,12/1/2011,Fully Paid,loan payoff,AZ
12000, 36 months,13.49%,C,C1,LITHIA MOTORS,4 years,RENT,72000,Source Verified,12/1/2011,Fully Paid,MAKE ON PAYMENT,CA
12000, 36 months,10.65%,B,B2,Insight Global,< 1 year,RENT,62000,Verified,12/1/2011,Fully Paid,Credit Card Refinance,TX
7000, 36 months,10.65%,B,B2,Winghouse Corporation,3 years,MORTGAGE,43680,Not Verified,12/1/2011,Fully Paid,Credit Card Consolidation,MN
8200, 60 months,19.42%,E,E3,Claret Wine Bar,3 years,RENT,120000,Source Verified,12/1/2011,Fully Paid,Debit consolidation,NY
10500, 36 months,12.69%,B,B5,O'Connor,10+ years,RENT,66000,Verified,12/1/2011,Fully Paid,medical,CA
7000, 36 months,11.71%,B,B3,Harris,4 years,OWN,39120,Not Verified,12/1/2011,Fully Paid,Emergency Loan,FL
15300, 60 months,22.06%,F,F4,OSSI,6 years,RENT,85000,Verified,12/1/2011,Fully Paid,Consolidation,VA
20000, 60 months,11.71%,B,B3,NCS Technologies,4 years,MORTGAGE,47800,Verified,12/1/2011,Fully Paid,Bill Consolidation,VA
17500, 60 months,17.27%,D,D3,Travelers Insurance,7 years,MORTGAGE,45000,Not Verified,12/1/2011,Charged Off,Debit Free,WA
3500, 36 months,6.03%,A,A1,J&J Steel Inc,10+ years,MORTGAGE,83000,Verified,12/1/2011,Fully Paid,Car Loan,IL
6000, 60 months,12.69%,B,B5,Anadarko Petroleum Corporation,< 1 year,RENT,81000,Source Verified,12/1/2011,Fully Paid,Major Purchase Loan,CO
6200, 36 months,9.91%,B,B1,Sunrise Senior Living,2 years,RENT,25000,Not Verified,12/1/2011,Charged Off,Wells/Chase ReFi,CA
16000, 60 months,17.58%,D,D4,Menards,7 years,RENT,65000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,KS
6000, 36 months,8.90%,A,A5,A Touch Of Italy,8 years,OWN,28800,Not Verified,12/1/2011,Fully Paid,Debt consolidation,NJ
7200, 36 months,9.91%,B,B1,New York Living Solutions,6 years,RENT,135000,Not Verified,12/1/2011,Fully Paid,Say goodbye to the rip-off banks,NY
9500, 36 months,8.90%,A,A5,Natex Architects,7 years,MORTGAGE,50000,Not Verified,12/1/2011,Fully Paid,Credit Card Loan,TX
18825, 60 months,16.77%,D,D2,Texas Health & Human Services Commission,10+ years,RENT,38000,Verified,12/1/2011,Charged Off,Coledon's Club Loan,TX
24000, 36 months,10.65%,B,B2,City of Newport Beach,10+ years,RENT,45000,Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,CA
6000, 36 months,13.49%,C,C1,Becker Construction Corporation,10+ years,RENT,80000,Not Verified,12/1/2011,Fully Paid,smaller loan,CA
6000, 36 months,13.49%,C,C1,Edward Jones,5 years,RENT,50000,Not Verified,12/1/2011,Fully Paid,Consolidate,AZ
2100, 36 months,12.42%,B,B4,Monroe Dispat,10+ years,MORTGAGE,30000,Not Verified,12/1/2011,Fully Paid,12/2011 loan,LA
5500, 36 months,6.62%,A,A2,,8 years,MORTGAGE,110000,Verified,12/1/2011,Fully Paid,Computer Equipment,CT
11000, 36 months,6.62%,A,A2,East Baton Rouge Parish School System,8 years,OWN,45608,Source Verified,12/1/2011,Fully Paid,payoff,LA
26800, 60 months,20.89%,F,F1,charlotte regional medical center,3 years,MORTGAGE,120000,Verified,12/1/2011,Fully Paid,credit loan,FL
8000, 36 months,12.69%,B,B5,OPW Fuel Management Systems,5 years,MORTGAGE,35000,Not Verified,12/1/2011,Fully Paid,Credit Card Consolidation,IL
10000, 36 months,18.25%,D,D5,Gucci Group/ Yves Saint Laurent,1 year,RENT,75000,Source Verified,12/1/2011,Charged Off,Credit Card,CA
8000, 36 months,11.71%,B,B3,Wal-Mart,9 years,MORTGAGE,35000,Verified,12/1/2011,Fully Paid,Consolidation Loan,NV
10000, 36 months,8.90%,A,A5,Renal Support Network,6 years,RENT,24000,Verified,12/1/2011,Fully Paid,Start Fresh 2012,CA
12000, 36 months,11.71%,B,B3,"Avon Protection Systems, Inc.",2 years,MORTGAGE,126000,Not Verified,12/1/2011,Fully Paid,Chase,OH
10000, 36 months,7.90%,A,A4,RAM DME,1 year,RENT,43000,Not Verified,12/1/2011,Fully Paid,Credit card paid off,CA
12000, 36 months,9.91%,B,B1,samuraisushi restaurant,1 year,RENT,50000,Not Verified,12/1/2011,Fully Paid,creditcard payoff,CA
25000, 60 months,13.49%,C,C1,Midnight,10+ years,MORTGAGE,67000,Verified,12/1/2011,Charged Off,"Pay off credit card, refinance house",AK
19750, 36 months,10.65%,B,B2,"PACIFIC WOOD LAMINATES, INC.",4 years,RENT,45000,Verified,12/1/2011,Charged Off,CONSOLIDATION,OR
10000, 36 months,9.91%,B,B1,Albert Einstein College of Medicine,3 years,RENT,31200,Source Verified,12/1/2011,Fully Paid,Debt consolidation loan,NY
13650, 36 months,12.42%,B,B4,MWH Americas,4 years,RENT,66000,Verified,12/1/2011,Fully Paid,Debt Consolidation,NV
28000, 60 months,19.91%,E,E4,American Airlines,10+ years,RENT,52000,Verified,12/1/2011,Charged Off,Debt Consalidation,TX
18000, 36 months,7.90%,A,A4,United States Air Force,10+ years,RENT,56964,Source Verified,12/1/2011,Fully Paid,Debt Consolidation / Lower CC Rate,CA
2500, 36 months,14.27%,C,C2,United states air force,7 years,RENT,49500,Source Verified,12/1/2011,Fully Paid,Money,FL
21000, 60 months,20.30%,E,E5,King Soopers (Kroger Co),10+ years,RENT,70000,Verified,12/1/2011,Fully Paid,Credit Card,CO
35000, 36 months,8.90%,A,A5,City of Los Angeles,6 years,MORTGAGE,125000,Verified,12/1/2011,Fully Paid,Debt Consolidation,CA
10000, 36 months,7.51%,A,A3,Malvern School of Medford,3 years,RENT,33000,Not Verified,12/1/2011,Fully Paid,Financial Freedom,NJ
7000, 36 months,12.69%,B,B5,Best Buy,< 1 year,RENT,30000,Source Verified,12/1/2011,Fully Paid,Credit Card,VA
24000, 36 months,15.96%,C,C5,lafidale inc,8 years,MORTGAGE,90000,Source Verified,12/1/2011,Charged Off,home improve,CA
10625, 36 months,7.51%,A,A3,Dennis Alleman DMD,5 years,MORTGAGE,23000,Not Verified,12/1/2011,Fully Paid,Bills,OR
5000, 36 months,14.65%,C,C3,Military,2 years,RENT,24000,Source Verified,12/1/2011,Fully Paid,Debt Consolidation,PA
8850, 36 months,6.62%,A,A2,Carroll County Public Schools,10+ years,RENT,62000,Source Verified,12/1/2011,Fully Paid,After Great Experience I am Back Again,MD
6375, 36 months,7.51%,A,A3,Dental TLC,4 years,RENT,44000,Source Verified,12/1/2011,Fully Paid,Credit Cards & Laptop,GA
6000, 36 months,11.71%,B,B3,Infosys Technologies Ltd.,1 year,RENT,90000,Not Verified,12/1/2011,Fully Paid,Credit Card,NJ
11100, 36 months,6.62%,A,A2,Aetna ,10+ years,RENT,41000,Verified,12/1/2011,Charged Off,Help me out,PA
10000, 60 months,12.69%,B,B5,Barnes and Noble,2 years,MORTGAGE,56000,Source Verified,12/1/2011,Fully Paid,Debt Consolidation,CA
6200, 36 months,6.03%,A,A1,WV State Tax Department,5 years,MORTGAGE,26500,Not Verified,12/1/2011,Fully Paid,Business Loan,WV
15000, 36 months,18.64%,E,E1,Norfolk Southern ,1 year,RENT,54000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation ,GA
4200, 36 months,11.71%,B,B3,Search for Common Ground,2 years,RENT,53000,Not Verified,12/1/2011,Fully Paid,Relocation Assistance,MD
14000, 36 months,14.27%,C,C2,Kazork,4 years,RENT,52800,Not Verified,12/1/2011,Fully Paid,Credit Card Debt,CA
8875, 36 months,7.51%,A,A3,Ashbrook Village Senior Community,1 year,MORTGAGE,38000,Not Verified,12/1/2011,Fully Paid,Credit Card Debt Consolidation,GA
13500, 36 months,9.91%,B,B1,Bank of the West,7 years,RENT,38000,Verified,12/1/2011,Fully Paid,personal loan,CA
12000, 36 months,9.91%,B,B1,Luxottica Retail,2 years,RENT,42000,Not Verified,12/1/2011,Charged Off,Consolidation,MN
16000, 60 months,19.91%,E,E4,Energy Northwest,4 years,RENT,55000,Verified,12/1/2011,Fully Paid,Debt Free,WA
21600, 60 months,19.42%,E,E3,State of Georgia/United States Air Force,8 years,MORTGAGE,60000,Source Verified,12/1/2011,Fully Paid,5 Years to Financial Freedom,GA
6000, 36 months,10.65%,B,B2,Medin Corporation,6 years,MORTGAGE,87000,Not Verified,12/1/2011,Fully Paid,Roof,NJ
8450, 60 months,16.77%,D,D2,Best Buy,5 years,OWN,25000,Verified,12/1/2011,Fully Paid,PayCC,IL
20000, 60 months,13.49%,C,C1,The McGraw-Hill Companies,1 year,RENT,82000,Not Verified,12/1/2011,Fully Paid,Credit Card Refinance,OH
10000, 36 months,11.71%,B,B3,karl strauss brewing company,8 years,RENT,60000,Not Verified,12/1/2011,Charged Off,consolidation loan,CA
12000, 36 months,16.29%,D,D1,buckhead family dentistry,5 years,MORTGAGE,80000,Verified,12/1/2011,Fully Paid,Credit Card,GA
13475, 60 months,13.49%,C,C1,vons,10+ years,RENT,25000,Verified,12/1/2011,Charged Off,Bills,CA
7200, 36 months,12.42%,B,B4,"Marks & Sokolov, LLC",5 years,RENT,48000,Not Verified,12/1/2011,Fully Paid,Presents and vocation,IL
5600, 36 months,14.65%,C,C3,O'Reilly Auto Parts,1 year,MORTGAGE,85000,Not Verified,12/1/2011,Charged Off,Debt Consolidation,AZ
12000, 36 months,14.27%,C,C2,Rite aid,< 1 year,RENT,57000,Verified,12/1/2011,Fully Paid,Debt consolodation,CA
8500, 36 months,6.03%,A,A1,CVS/pharmacy,2 years,RENT,25000,Not Verified,12/1/2011,Fully Paid,Credit Card Consolidation ,MD
8000, 36 months,9.91%,B,B1,PNC Financial Services ,2 years,RENT,34000,Source Verified,12/1/2011,Fully Paid,Credit Card,PA
8000, 36 months,12.42%,B,B4,City of Hillsboro,10+ years,RENT,40000,Not Verified,12/1/2011,Fully Paid,Credit Card Loan,OR
16000, 60 months,15.27%,C,C4,US Army,10+ years,RENT,42656.4,Source Verified,12/1/2011,Fully Paid,debt consolidation,GA
15000, 36 months,17.27%,D,D3,Senior Dental Insurance Solutions,2 years,MORTGAGE,44400,Source Verified,12/1/2011,Fully Paid,home improvement,FL
10000, 36 months,9.91%,B,B1,Upper Valley Food Co-op,2 years,OWN,30000,Not Verified,12/1/2011,Fully Paid,Credit Card Payoff,VT
10000, 36 months,6.62%,A,A2,Marshall Realty,5 years,MORTGAGE,70000,Not Verified,12/1/2011,Fully Paid,credit card payoff,NY
8000, 36 months,14.65%,C,C3,Studio 94 Corp,3 years,RENT,28000,Not Verified,12/1/2011,Fully Paid,Car Loan,CA
22000, 36 months,9.91%,B,B1,St john hospital ,2 years,MORTGAGE,50000,Verified,12/1/2011,Fully Paid,High interest credit card consolidation,MI
6000, 36 months,14.27%,C,C2,American Airlines,10+ years,MORTGAGE,94800,Verified,12/1/2011,Fully Paid,Auto Loan,TX
16000, 60 months,9.91%,B,B1,Indian river county clerk of court,10+ years,OWN,40000,Verified,12/1/2011,Fully Paid,Debt consolidation,FL
2500, 36 months,7.51%,A,A3,,n/a,OWN,12000,Source Verified,12/1/2011,Charged Off,GET FREE OF DEBT,CA
13500, 36 months,9.91%,B,B1,Feld Entertainment,2 years,MORTGAGE,36000,Source Verified,12/1/2011,Fully Paid,Bye Bye Credit Cards,DC
25000, 36 months,12.42%,B,B4,McGraw- Hill,2 years,RENT,225000,Verified,12/1/2011,Fully Paid,Consolidation loan,NJ
10000, 36 months,13.49%,C,C1,Samsung Information Systems America,2 years,RENT,45900,Verified,12/1/2011,Fully Paid,Small Business Loan,CA
2500, 36 months,13.49%,C,C1,Bartell Drugs,4 years,RENT,27200,Not Verified,12/1/2011,Fully Paid,zipcar,WA
7325, 36 months,12.69%,B,B5,Sensus Healthcare,1 year,RENT,42000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation,FL
4000, 36 months,12.42%,B,B4,walgreens,5 years,RENT,135000,Verified,12/1/2011,Fully Paid,credit card consolidation,NY
10000, 36 months,13.49%,C,C1,Edgestone Real Estate,5 years,RENT,65000,Not Verified,12/1/2011,Charged Off,Small Business Loan,CA
7750, 36 months,17.27%,D,D3,US Bank,< 1 year,RENT,24000,Not Verified,12/1/2011,Charged Off,Payoff Loan,IL
20000, 60 months,20.89%,F,F1,Independent Imaging,6 years,RENT,70000,Source Verified,12/1/2011,Charged Off,Loan to pay off Credit cards,FL
9600, 36 months,12.42%,B,B4,Express LLC,10+ years,RENT,65000,Verified,12/1/2011,Fully Paid,GetoutofDebt,NY
21000, 60 months,11.71%,B,B3,Calix,3 years,RENT,60000,Not Verified,12/1/2011,Charged Off,Consolidate me 2011,CA
14000, 36 months,10.65%,B,B2,MetLife,3 years,RENT,30000,Source Verified,12/1/2011,Fully Paid,Credit Consolidation,CT
13350, 36 months,12.42%,B,B4,Cajon Valley Union School District,10+ years,RENT,43000,Not Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,CA
15000, 36 months,16.77%,D,D2,Schneider National Inc,10+ years,RENT,42000,Verified,12/1/2011,Charged Off,Debt Consolidation Loan,WI
15000, 36 months,17.27%,D,D3,Santa Clara County Public Defender,8 years,RENT,75000,Source Verified,12/1/2011,Charged Off,debt consolidation,CA
11000, 60 months,13.49%,C,C1,Department Of Health,10+ years,MORTGAGE,129000,Verified,12/1/2011,Fully Paid,Breathing Room,CA
35000, 36 months,10.65%,B,B2,baylor college of medicine,2 years,MORTGAGE,168000,Verified,12/1/2011,Fully Paid,pertsonal loan,TX
9000, 36 months,10.65%,B,B2,,9 years,MORTGAGE,74000,Source Verified,12/1/2011,Fully Paid,Credit Card Refi,SD
22475, 60 months,15.27%,C,C4,EDIT,7 years,MORTGAGE,52000,Verified,12/1/2011,Fully Paid,Debt Consolidation,NH
16000, 36 months,12.69%,B,B5,Marsh,1 year,RENT,58500,Source Verified,12/1/2011,Charged Off,Consolidation,IL
13500, 36 months,12.69%,B,B5,AAVMC,5 years,RENT,71000,Source Verified,12/1/2011,Fully Paid,Debt Consolidation,VA
24000, 36 months,12.69%,B,B5,State of Washington,10+ years,RENT,75000,Verified,12/1/2011,Fully Paid,consolidate,WA
12000, 36 months,10.65%,B,B2,PURE FLO WATER COMPANY,5 years,RENT,60000,Not Verified,12/1/2011,Fully Paid,CREDIT CARD PAYOFF,CA
8400, 60 months,16.77%,D,D2,City of new york,5 years,RENT,87996,Not Verified,12/1/2011,Fully Paid,Ring,NY
28000, 60 months,17.58%,D,D4,Cisco Systems Inc.,5 years,MORTGAGE,140000,Verified,12/1/2011,Fully Paid,"70%Attached room,30%cc-loanconsolidation",NC
14000, 36 months,6.62%,A,A2,US Air Force,10+ years,RENT,66000,Source Verified,12/1/2011,Fully Paid,Pay off debt,VA
12000, 36 months,14.27%,C,C2,Corning Inc.,8 years,MORTGAGE,70000,Not Verified,12/1/2011,Charged Off,Debt Consolidation Loan,NY
25000, 36 months,11.71%,B,B3,UPS,10+ years,MORTGAGE,100000,Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,RI
9000, 36 months,12.69%,B,B5,Gilbert Express,5 years,RENT,50000,Source Verified,12/1/2011,Fully Paid,Debt Consolidation Loan,NY
